Number of parameters: 7
Number of responses: 0
index                     perm4                  perm5                  perm6                  perm7                  perm8                  perm9                  kmult
444       3.438721907304424e-15  1.472050180111145e-15  8.586621586288426e-15  9.287070117957404e-15  5.512545206243724e-15  5.545393906444596e-15      1.160360753504289                    nan
447        9.38533673843179e-15  2.913413168628626e-15  6.073846447328226e-16  5.550017854996399e-15  6.862440458608483e-15  2.308397509827508e-15      1.300878495968285                    nan
445        9.71583651400461e-15  6.116751078697281e-15  8.155104344196533e-15  1.325095163965872e-15  8.548023111103214e-15  6.648039057592318e-15      1.423403988310415                    nan
446       6.871653240941282e-15  6.248368297602072e-15  2.455586802947797e-15    4.3978590663803e-15  2.959371866848135e-15  4.141945644208664e-15      1.413402286394643                    nan
443       7.383359398581822e-15  9.318726011748358e-15  2.351402315419467e-16  3.276009886624932e-15  5.000486103132507e-15  7.885193570329752e-18      1.407403744730626                    nan
449       1.468886112937895e-16  2.217752712045318e-16  2.569963504066367e-16  2.966312876114706e-15  5.719648883258564e-15   7.24842101237629e-15        1.2145577150535                    nan
450       2.012768071038019e-15  1.157742588770412e-15  9.074791140366415e-15  6.036206324565755e-15   8.18722968643204e-15   1.21316597953367e-15      1.977654092984962                    nan
452       5.545173341965176e-15  3.896805390411097e-15  7.044708771639434e-15   6.06738275329225e-15  2.203192054126593e-16  1.727353572225861e-15      1.537520741435193                    nan
448       2.896152095575921e-15  9.563985803101821e-15  5.694934169911733e-15   7.24027418111973e-15  3.607040073500731e-15  5.376538219753246e-15     0.5754067870422234                    nan
451       5.653646217764591e-15  1.841191616761339e-15  2.130274459027262e-15  3.783731040265735e-15  2.581244978675876e-15  9.010951710530057e-16     0.5256620540971096                    nan
453       6.134638007079947e-15  6.736698262089675e-15  3.894222553409078e-15  3.120037187296493e-15  9.996056842352115e-15   4.38973989307441e-15      1.285142239504588                    nan
455       8.329232885395949e-15  2.872447484420482e-15  6.336170207178425e-15  9.736170194302737e-15  5.358955515428845e-15  8.120537756726215e-15      1.411678608551976                    nan
454        9.12662977320072e-15  5.699791638384359e-15  5.238619897197925e-15  4.302661064808205e-15  1.851699018761022e-15  1.241916462619937e-16       1.51511360069807                    nan
442       7.585671421929125e-15  7.701491616776502e-15  9.433778147097148e-15  4.489236205455962e-15  6.999690114180355e-15  7.290892282639768e-15      1.735490031196249                    nan
457       8.727367302023507e-15  9.683240744654929e-15   8.89595485923849e-15  8.584047774849757e-15  3.115099215285154e-15  2.659033180432164e-15     0.7423475862043351                    nan
456       6.635585451117064e-15  3.859257653698995e-15  3.116411505035895e-15  2.701561822514107e-15  8.105151763963311e-15  5.221829159747782e-15     0.8202058686521847                    nan
459       4.087110205703741e-15  5.210591484924261e-15  1.997130063404718e-15  6.995928003923737e-15  5.562333967119751e-15  4.645679729493395e-16      1.223288838741138                    nan
461        6.34158616219332e-15  6.427220653819834e-15  7.089137071506053e-15  6.809041726753166e-15  1.683569026403322e-15  7.620356072338989e-15       1.16867009424386                    nan
458       2.390561144193329e-16  5.369395053241633e-15  5.171688690785868e-15  2.585871920398225e-15  9.111847177668347e-15  4.695442871977562e-15     0.6958073833202834                    nan
460       1.399858167573217e-15   1.19955082513054e-15   9.55154143847264e-15  7.096405390704161e-15  8.754146537493493e-15  7.782722982994244e-15      1.237440660430309                    nan
435       9.841632151837738e-15  8.411175784375944e-15  8.507575868549824e-15  8.041083900591531e-15  4.869903277721357e-16  6.895488888773481e-16      1.416133820194263                    nan
462       2.985978415159949e-16  9.265835331999242e-15  3.481160007095605e-15  4.402521649232506e-15  9.529329513406864e-15  6.568153054363507e-15      1.656124248482149                    nan
432       8.236627500581212e-15  8.675127311948239e-15  6.486022090397318e-15  4.148949922418942e-15  5.760449922408302e-15  2.340698087820676e-15      1.838649200554822                    nan
463       9.406734026933989e-15  7.610929305705039e-15  2.247914580960638e-15  3.665123437637328e-15  3.044965826398241e-15  4.457503993029707e-16     0.8917733458514864                    nan
464       2.774737028705544e-15   5.97360340017391e-15   5.15857621924038e-15  8.690423066688518e-15  9.914332582111563e-15  8.046349559436362e-15      1.041111051621572                    nan
466       4.261562113328601e-15  5.678928137955835e-15  6.643683697517893e-15   3.17819492062676e-15  7.976300947559752e-15   4.95571542219792e-15      1.343997330563691                    nan
467       3.120496406207744e-15  9.673665486114435e-15  2.157756003956173e-15  2.277870632541068e-15  8.258405160587193e-15  7.234103580631706e-15      1.585076593821499                    nan
468       4.209264051023039e-15  1.281866808212158e-15  2.841606920930624e-15  6.536451854590302e-15  3.297320022921343e-15  2.905229918005557e-15      1.568738021891133                    nan
465       4.431384847291943e-15  4.305323879901374e-15  7.376606516362624e-15  3.914534734802323e-15  4.191374564071343e-15  1.956088953747874e-15     0.8214455674430913                    nan
469       4.107821730194813e-15  2.004538231522103e-15  8.481160402187522e-15  7.747867419766084e-15  1.195017786172875e-15  6.794413606941221e-15      1.477034872436304                    nan
471       9.446673691170663e-15  2.404390617368898e-15   5.70386580460943e-15  5.528444134203208e-15  3.344397363685782e-15  3.050130740306457e-17      1.606159163803074                    nan
470       4.884593223657177e-15  3.870508641848472e-15  3.802566381703798e-15    1.2025035815125e-15  6.602946179342024e-15  7.932046411771119e-15      1.521935897886817                    nan
474       7.400580153465894e-15  9.664749722542619e-16  1.475103711379346e-16    7.2223974006733e-15  9.192528488214674e-15  6.849243191986203e-15      1.185078100141276                    nan
475       6.880411226755136e-15  5.621512876146923e-15  5.726718814350886e-15  2.772734977880187e-15  2.893659135126882e-15  1.672779798295864e-15      1.449723789904825                    nan
476       4.677949827553818e-15  1.730544963674696e-15  9.115754398331714e-16  6.683860251135829e-15  3.152088533467961e-15   3.54544986723947e-15     0.9439028478637116                    nan
477       5.722639322951101e-15  1.430197741022315e-15  3.422544308427352e-15  8.007351869734309e-15  2.049693128773544e-15  2.688539624029164e-15      1.513501032226719                    nan
479       4.578489079598051e-15  5.948446295523564e-15  3.922361050578395e-15  5.246702617350339e-15   3.63254183468837e-15  7.864598773153332e-15      1.728031551028618                    nan
478       2.978994522813773e-15  6.037069505235511e-15  5.970200273232787e-15  8.382652562451404e-15    1.6167237509218e-15  2.548713896199732e-15      0.517040572973631                    nan
482       5.975464053899715e-15  2.508803880588039e-15  6.163576451274139e-15  7.420968213388057e-15  4.846207311921431e-15  9.653818059893227e-15      1.194468436704627                    nan
483       3.775941597155815e-15  5.082027833021372e-15  6.789729719519316e-15  2.913493107465278e-15  7.345839629513037e-15   6.21244867103025e-15     0.6385263751419705                    nan
481       6.297109039639469e-15  1.562380044147477e-15  6.937474515917821e-15  9.974109194591697e-15  6.233789511120976e-15  8.697444453479486e-17      1.877940026262582                    nan
484       5.844916055774547e-15  9.323722484188126e-17  4.515051695384279e-15  3.478675028884257e-15  2.305793071648828e-15  8.832955994255478e-15      1.075826012059302                    nan
486       9.869863950398426e-15  4.020855898905374e-15  1.344981578836641e-15  4.747777651442799e-15  6.383493881302798e-15  8.463717729564493e-15      1.437229111861843                    nan
488       8.080245481217491e-16   3.96438976975226e-15  5.421099811404279e-15  5.870833045143814e-15  5.196107352134768e-15  1.260243229032398e-15      1.003610236776951                    nan
487       7.235398234653511e-15  5.306250438691094e-15  7.591370825039464e-15  2.838373688752611e-15  7.577957508990761e-15  7.948698323456922e-15      1.760781905256844                    nan
472       8.249655563989763e-15  9.058465908246704e-15  6.747031326858557e-15  6.577989129431681e-15  8.396543038381346e-15  1.771443188243194e-15     0.5617460733893882                    nan
473       8.283543690770853e-15  5.939009482693948e-15  8.667639407564818e-15  9.481111731597975e-15  1.291807084271277e-15  9.274980293357923e-15      0.579220273497639                    nan
489       9.099532247656798e-16  7.389176055200104e-15  4.830826924745415e-15  3.290323707212398e-15  7.084672426118663e-15  4.647654970277185e-15      1.083592785110483                    nan
480       8.502106762789565e-15  8.716427513239168e-15  9.271628803527779e-15  9.593902521576975e-17  8.450787170277468e-15  2.753805071291293e-15     0.7137477672269634                    nan
490       6.908704135341559e-15  5.191756160375217e-15  4.019042911898281e-16  7.523336538295098e-15  8.177481286635215e-16  2.407996909376836e-15      1.014569324629576                    nan
491         2.5646833423292e-15  1.015756571872605e-15  7.941038262435136e-15  5.024223206226116e-15  1.074881770832315e-15  9.253072353626506e-15      1.474747951926231                    nan
496       5.035222355256651e-15  4.240165459734544e-15  5.003071967420204e-15  4.877067204840858e-15  8.063041246975596e-15  4.353864777327268e-15        1.2445993353016                    nan
492       8.909199720670771e-15   5.28593865023295e-16   3.32382418731069e-15   7.32821771755534e-15  8.904084017310792e-15  6.741422610509873e-15     0.9670919714618953                    nan
485       4.386416921804995e-15  7.051186196415268e-15  8.809934908055489e-15  1.506716732071347e-15   2.47649213742591e-15  4.995700352279213e-16      1.875922594901009                    nan
493       5.144677702645287e-15  3.901226623508914e-15  2.305661635369639e-15  4.906475586822953e-15  3.343665375710808e-16  4.458321297452393e-15      0.835375273834039                    nan
494       6.971544386008054e-15  8.094211586388271e-16  5.918418609395923e-15  9.624502712673399e-15  6.060292471515507e-15    3.6773955296007e-15     0.8738248986066257                    nan
498       1.428833958947549e-15  8.038084007213277e-15  7.821574627807718e-15  8.715698381795232e-15  4.241492076676574e-15  4.773903872302227e-15      1.094973928172333                    nan
499       1.750486395222759e-15  1.459322312761345e-15  9.998719303617207e-15  1.056032642287284e-15  9.241314711435768e-15  2.809869688717056e-15      1.405951487311861                    nan
500       8.712010105927442e-15  5.147488217073797e-15  3.860538054735053e-15  3.205795916167824e-15  1.325387712520598e-15  3.046862518804663e-15     0.9822409879531567                    nan
497       3.841351809157211e-15  7.516936654515733e-15  8.780373589010125e-16  2.680007575107684e-15  5.549753866957883e-15  1.794580427677485e-15     0.8402377766389924                    nan
495       7.019839291359765e-15  7.087334796645606e-15  9.851348760489115e-15  1.717354426461227e-16  1.765312180253006e-15   3.72964679343044e-15     0.7203488498450736                    nan
