Number of parameters: 7
Number of responses: 0
index                     perm4                  perm5                  perm6                  perm7                  perm8                  perm9                  kmult
1         6.384567008016166e-15   8.74507071389137e-15  5.600246314757734e-15  4.539277822125233e-15  1.000287427939503e-15  6.165481730912708e-15     0.5406297415599676
2         4.146786523479651e-15  7.202366374907644e-15  6.018746381240995e-15  9.157253840654779e-15  9.436001220237532e-15  9.213320633217384e-15     0.5492696469960446
3         4.540877597756996e-16  6.795692290723412e-15  3.244410848088495e-15  3.690147636048644e-15  5.411804342621303e-15  9.445465220801153e-16      1.663372576878771
4         8.417565206328648e-15    3.0836644615788e-15   6.18065337169359e-15  4.210133431769557e-16  7.170240759142559e-15  4.568894942826698e-15      1.318112254791176
5         7.059326456688017e-15  9.529378270515329e-15  1.962300154157887e-15   1.41290443160671e-15  2.538798377441142e-15  9.489496591407273e-15      1.654197919682734
6          9.83990339279714e-15  2.200380495789292e-15  1.924958680346231e-15   5.96129849408995e-15  2.121203316866646e-16   8.28499756881586e-16     0.5059697550998749
7         1.207429043412557e-15  5.516936676208143e-15  5.635973052721147e-15  8.066674423448336e-16  6.586205664279855e-15  3.486074403683815e-15      0.595606678495489
8         5.285710712798383e-15  2.248657183743712e-15  1.141782002358257e-15  8.609828400658271e-15  5.713143881904299e-16  9.971768870296977e-15      1.098350949476593
9         9.099345583251822e-15  2.176525907213019e-15  8.165557447765725e-15   2.95047214743902e-16  1.422244194359017e-15  6.199812771586041e-15     0.7956166915937557
10        4.326144950090065e-16  9.940248356829854e-15  5.944121874102394e-15  7.551498845325844e-15  4.069655840083904e-15  5.996909371603115e-15      1.590746817554421
11        8.543531549904541e-15  1.627557363210908e-16  4.725155148105356e-15   9.52789903205817e-16  8.284051071976303e-15  5.971148366042762e-15      1.263118535380504
12         8.77099071881624e-16  6.868039125490861e-15  4.951141463690759e-15  7.478073285564024e-15  5.283791583881726e-16  6.870320681597259e-15       1.42787673652858
13        8.880858563637798e-15  5.259687892088741e-15  5.100840546329486e-15  6.761188500146818e-15  2.261795258467892e-15    7.2722421403478e-15      1.757813375527364
14        8.473176838688801e-15  9.082209697537551e-15  8.727598722821367e-15  5.016910681371575e-15  4.387651233228973e-15  1.078212433932151e-15     0.5346616215958367
15        5.907869394602488e-15  8.128113744716394e-15  5.287252722632746e-15  2.790204408803834e-15   8.94499574653674e-16  7.522895222212514e-15     0.5965174227498178
16        5.171948524372228e-15  1.874526066957902e-15  3.416268059657444e-15  9.933142278396007e-15  9.970771492850116e-15  5.600550775253596e-15      1.763649348507735
17        3.283214691217069e-15  6.447298314224691e-15  5.354583001499913e-15  2.386403085924532e-15     1.263433854608e-16  2.328884419089036e-15     0.5532774420856876
18        1.794027168342884e-15  4.285294970132248e-15   2.57108159068151e-15  7.734458721533627e-15  7.259558781401105e-15  1.450185986628228e-15     0.9139350157007045
19        3.578481365078769e-15  8.091317071486518e-15  2.883800738477714e-15  4.438538012610705e-15  8.350456772930096e-15  4.866684699427727e-15      1.930494470370664
20        5.055814490995306e-16  6.090862857499131e-15  9.754362207891483e-15  1.694568977977091e-15  4.895352500756865e-15   8.00129860689529e-15       1.55860738932916
21        1.149652362709763e-15   2.34971217463795e-15  4.691680958018237e-16  8.581369257905562e-16  3.717744687025588e-15  5.291270973781093e-15      1.630652623049037
22        6.953479642299807e-15  3.165550916592746e-15   2.96861823802837e-15   8.81450169190342e-15  4.137280054483265e-15  6.096122347162102e-15      1.882576894241037
23        5.326245340078639e-15  7.360909412253069e-16  2.433105508150771e-15   9.18926095610424e-16  1.810273316924496e-15   6.72570800744309e-15      1.829178275910478
24        4.079756342985294e-15  6.317017595393933e-16  7.287117779863279e-15  9.011900217259401e-15  6.312297157010291e-16  8.633290541211273e-15     0.9745881340166342
25        9.767087375708696e-15  2.925124876383071e-15  8.739831609751165e-17  1.249135656973824e-15  3.404176195225903e-15  9.440714928046254e-15      1.296026838685178
26         1.31927190601743e-15  5.632207432466065e-16  5.173884172870966e-16   4.78805241116651e-15  7.833741245594169e-15  8.531585718783267e-15      1.507554451364711
27        8.463806963885135e-16  6.132124812705056e-15  5.995109917693813e-15  9.257461715194424e-15  7.110233273578442e-15  9.746259901422903e-16      1.672098476817782
28         3.34385418080718e-15  8.739623830993888e-15  3.701815197560863e-15  9.139558598184233e-15  1.916474597064817e-15  2.281272179489874e-15      1.772728022141125
29         6.76554145411964e-15   5.12342245759484e-15  1.525960298464142e-18   6.63077512781791e-15  4.511131257893472e-15  3.246700815987271e-15      1.342510232498016
30        1.226549087223025e-15  2.235364510634861e-15   7.03998570805422e-15  7.830869004357622e-16   7.28308162527976e-15  7.095400024402498e-15      1.280063420292605
31        3.797341150128207e-15  7.074177998877985e-15  6.153240966501765e-15  5.720420760781519e-15  4.332420391202543e-15   5.72615668960156e-15      1.903419056122821
32        9.547567416450792e-15  8.183820211752117e-15   5.09482182130354e-15  5.659413675728602e-17  1.453681602778951e-15  2.535007256334147e-16      1.632454642034923
33        3.617267316032255e-15  3.289270581295752e-15  2.772111851615864e-15  1.164508738634503e-15  9.717579414048179e-15   3.03218312649233e-15     0.8458272681153771
34         6.57985592656838e-15  5.049759080452034e-15  2.039965894352878e-15  8.124676019477293e-15  9.721528790507601e-15  4.009458239409432e-15     0.6626740829824107
35        1.921128811946645e-15  7.971163043934991e-15  4.990424973615739e-15  5.609675365328357e-15  1.887180886833303e-15  7.279968898004149e-16      1.364325172647344
36        4.179854287391876e-15  5.885879227296628e-15  7.263170369282672e-15  8.220958511680198e-15  1.407478594800839e-15  1.858872014111805e-15      1.230194677352793
37        1.860379375357181e-15  7.115081580317464e-15  3.239259739219119e-15   1.87808406636183e-15  4.930400523592964e-15  7.884477889079587e-15      1.841486784816921
38        5.351731888239965e-16  7.033168479281185e-15  2.728731597359621e-15  7.663649591095805e-15  2.780827810815006e-15  5.591742912368911e-15     0.9326795378723085
39        2.287721674033451e-15  9.771248401252197e-15  9.317760831660495e-15   1.09135577025657e-17  1.643571188682294e-15     5.115471063609e-15     0.6899025098343471
40        9.789552936592244e-15   6.19654891308329e-16  1.321223029135506e-15  1.377719953753046e-15  4.154264774688176e-15  4.464856895707585e-15      0.827449984562727
41        7.358584708306236e-15  8.049210183482895e-15  1.714872709176979e-15  8.333644342120002e-15  1.022114013337119e-16  3.651266650561888e-15      1.800187028437982
42        2.331800323656367e-15  6.339866926362524e-15  1.181719912075634e-15  8.858786764291128e-15   3.58847148230325e-15  8.912923098513123e-15     0.5556409790247883
43        1.248866544460817e-16  9.731468121330828e-15  7.518559038350858e-15  5.431349027726455e-15  3.079536674794733e-15  3.289840776590465e-15     0.5710725726974698
44        4.598449650784874e-15  1.217362197126838e-15  1.645006786012385e-15  3.870462966271895e-15  3.752503638907871e-15  3.018194337737039e-15      1.035666548609762
45        9.570120820613566e-17  2.809848803621891e-15  7.549334211630378e-15  5.747809474629953e-15  3.882928576935221e-15  8.442226785496502e-15      1.319528490959685
46        7.280620546975602e-15  9.898908219838007e-15  5.494318883539782e-15  7.613757903805707e-15  5.941577364693223e-15  6.787989372275018e-16      1.973140480354402
